Gene_ID	Tissue	Ribo_TPM	RNA_TPM	TE
ENSG00000106404	Fibroblasts	2.742982527	7.819430939	0.3507905560389527
ENSG00000099814	Fibroblasts	3.724170043	20.94510381	0.1778062346590967
ENSG00000155506	Fibroblasts	28.14851438	48.25306041	0.5833518981143522
ENSG00000121350	Fibroblasts	10.07475892	7.098829239	1.4192141521943715
ENSG00000196363	Fibroblasts	12.88666413	22.79216972	0.5653987438805365
ENSG00000076356	Fibroblasts	2.753354222	5.000004946	0.5506702996769396
ENSG00000090565	Fibroblasts	1.596502861	13.33270384	0.11974336789888523
ENSG00000074219	Fibroblasts	4.309044946	15.93495791	0.2704145797144437
ENSG00000196361	Fibroblasts	0.036768034	0.016695599	2.202259050424007
ENSG00000254647	Fibroblasts	0	0.001600397	0
ENSG00000253305	Fibroblasts	14.04274124	14.56870436	0.9638977422423307
ENSG00000141569	Fibroblasts	5.967497569	8.064002636	0.7400168177474787
ENSG00000100304	Fibroblasts	13.88810731	16.15842729	0.8594962282371975
ENSG00000136518	Fibroblasts	42.60297605	49.78188804	0.855792693434373
ENSG00000258064	Fibroblasts	16.49101146	19.76411117	0.8343917577751613
ENSG00000198668	Fibroblasts	712.6497474	325.6308086	2.188520645401855
ENSG00000172081	Fibroblasts	45.95501983	16.7899211	2.737059903753806
ENSG00000213221	Fibroblasts	13.32715767	14.43109726	0.9235027267774093
ENSG00000178403	Fibroblasts	0.00787291	8.10717e-4	9.71104590134412
ENSG00000213316	Fibroblasts	20.55751371	5.849107054	3.5146413837547104
ENSG00000033011	Fibroblasts	21.11317082	14.86329104	1.4204909776159507
ENSG00000165650	Fibroblasts	3.322921322	16.73478891	0.19856368310773034
ENSG00000179407	Fibroblasts	0.005575379	0.001152671	4.836921376524611
ENSG00000165685	Fibroblasts	0.006431844	0.013215	0.48670783200908063
ENSG00000197614	Fibroblasts	4191.503976	1778.04842	2.3573621105324003
ENSG00000058729	Fibroblasts	25.50609134	32.38431255	0.7876063850550998
ENSG00000121621	Fibroblasts	0.947751993	1.297147072	0.7306434354731366
ENSG00000182774	Fibroblasts	279.6800835	799.9611897	0.349617065303987
ENSG00000066279	Fibroblasts	0.254240035	1.020065806	0.24923885645863905
ENSG00000189266	Fibroblasts	2.473311802	19.60879175	0.1261327996917505
ENSG00000116954	Fibroblasts	47.06249988	56.11745709	0.8386427739325776
ENSG00000184916	Fibroblasts	0.791738676	1.520239085	0.5207987900140063
ENSG00000080298	Fibroblasts	2.015455372	1.458043814	1.3823009656141922
ENSG00000283428	Fibroblasts	0.004226573	0.022462159	0.18816414753363647
ENSG00000090534	Fibroblasts	0.009652838	0.109332189	0.08828907651341364
ENSG00000164761	Fibroblasts	374.2532305	349.3228667	1.071367683528746
ENSG00000188425	Fibroblasts	0	0	NA
ENSG00000188199	Fibroblasts	0	0.008826284	0
ENSG00000266265	Fibroblasts	0.027243136	0.008561538	3.1820376198762417
ENSG00000180346	Fibroblasts	3.743501239	7.954549829	0.47061132552747
ENSG00000102119	Fibroblasts	78.40044766	103.8845691	0.7546880960206053
ENSG00000204403	Fibroblasts	0.04699307	0.066259685	0.7092256777254525
ENSG00000170892	Fibroblasts	82.12439867	64.80038467	1.2673443080349542
ENSG00000258790	Fibroblasts	15.32763022	25.86308264	0.5926451395354626
ENSG00000151065	Fibroblasts	8.327939056	11.93886997	0.697548350633389
ENSG00000180071	Fibroblasts	0.04755057	0.139875147	0.3399500984974836
ENSG00000159618	Fibroblasts	0.00909446	0.00738095	1.2321530426300138
ENSG00000204131	Fibroblasts	0.404704698	0.300862655	1.3451476654688166
ENSG00000117601	Fibroblasts	0.070138196	0.178634624	0.3926349462912632
ENSG00000138439	Fibroblasts	5.217738859	2.060014586	2.5328650071024303
ENSG00000101187	Fibroblasts	0.063162174	0.091457459	0.6906180719497138
ENSG00000100056	Fibroblasts	12.10132222	14.93538886	0.8102448709862383
