Num.Enhancers,Gene_ID
3,ENSG00000065243
19,ENSG00000065268
8,ENSG00000065308
1,ENSG00000065320
4,ENSG00000065328
30,ENSG00000065357
29,ENSG00000065361
1,ENSG00000065371
3,ENSG00000065413
15,ENSG00000065427
10,ENSG00000065457
8,ENSG00000065485
21,ENSG00000065491
1,ENSG00000065518
13,ENSG00000065526
5,ENSG00000065548
7,ENSG00000065559
7,ENSG00000065600
41,ENSG00000065613
45,ENSG00000065618
46,ENSG00000065621
18,ENSG00000065665
2,ENSG00000065675
7,ENSG00000065717
4,ENSG00000065802
8,ENSG00000065882
12,ENSG00000065883
47,ENSG00000065911
1,ENSG00000065923
1,ENSG00000065970
28,ENSG00000065978
9,ENSG00000065989
6,ENSG00000066027
14,ENSG00000066044
19,ENSG00000066056
32,ENSG00000066084
31,ENSG00000066117
44,ENSG00000066135
14,ENSG00000066136
1,ENSG00000066185
2,ENSG00000066230
1,ENSG00000066248
3,ENSG00000066279
55,ENSG00000066322
10,ENSG00000066379
14,ENSG00000066422
2,ENSG00000066427
21,ENSG00000066455
7,ENSG00000066468
4,ENSG00000066557
1,ENSG00000066583
11,ENSG00000066651
1,ENSG00000066654
2,ENSG00000066697
6,ENSG00000066735
6,ENSG00000066739
4,ENSG00000066777
2,ENSG00000066827
6,ENSG00000066855
9,ENSG00000066923
15,ENSG00000066926
5,ENSG00000066933
1,ENSG00000067048
24,ENSG00000067057
9,ENSG00000067064
19,ENSG00000067066
35,ENSG00000067082
1,ENSG00000067113
19,ENSG00000067167
3,ENSG00000067177
34,ENSG00000067182
6,ENSG00000067208
10,ENSG00000067221
11,ENSG00000067225
53,ENSG00000067334
10,ENSG00000067365
1,ENSG00000067369
15,ENSG00000067533
29,ENSG00000067560
16,ENSG00000067596
8,ENSG00000067606
2,ENSG00000067646
2,ENSG00000067704
2,ENSG00000067715
6,ENSG00000067798
1,ENSG00000067829
15,ENSG00000067836
1,ENSG00000067840
6,ENSG00000067900
32,ENSG00000067955
1,ENSG00000067992
25,ENSG00000068001
18,ENSG00000068028
3,ENSG00000068078
23,ENSG00000068079
25,ENSG00000068120
30,ENSG00000068137
5,ENSG00000068305
14,ENSG00000068308
10,ENSG00000068323
15,ENSG00000068354
4,ENSG00000068366
9,ENSG00000068383
11,ENSG00000068394
12,ENSG00000068400
19,ENSG00000068438
6,ENSG00000068489
3,ENSG00000068654
47,ENSG00000068697
27,ENSG00000068724
30,ENSG00000068745
1,ENSG00000068784
10,ENSG00000068793
13,ENSG00000068796
5,ENSG00000068831
8,ENSG00000068878
2,ENSG00000068885
27,ENSG00000068903
15,ENSG00000068912
17,ENSG00000068971
5,ENSG00000068976
3,ENSG00000069011
4,ENSG00000069020
5,ENSG00000069188
9,ENSG00000069248
14,ENSG00000069275
8,ENSG00000069345
5,ENSG00000069399
3,ENSG00000069424
1,ENSG00000069482
2,ENSG00000069493
1,ENSG00000069509
30,ENSG00000069696
2,ENSG00000069702
23,ENSG00000069764
33,ENSG00000069812
14,ENSG00000069849
11,ENSG00000069869
3,ENSG00000069943
44,ENSG00000069956
39,ENSG00000069966
4,ENSG00000069974
16,ENSG00000070010
1,ENSG00000070018
41,ENSG00000070047
30,ENSG00000070061
7,ENSG00000070081
27,ENSG00000070087
6,ENSG00000070159
19,ENSG00000070182
4,ENSG00000070190
15,ENSG00000070214
10,ENSG00000070366
1,ENSG00000070367
6,ENSG00000070371
8,ENSG00000070388
45,ENSG00000070404
8,ENSG00000070413
15,ENSG00000070423
15,ENSG00000070444
2,ENSG00000070476
9,ENSG00000070495
12,ENSG00000070501
1,ENSG00000070526
4,ENSG00000070540
8,ENSG00000070601
4,ENSG00000070610
23,ENSG00000070614
9,ENSG00000070669
12,ENSG00000070718
1,ENSG00000070729
14,ENSG00000070731
32,ENSG00000070756
7,ENSG00000070759
18,ENSG00000070761
10,ENSG00000070770
6,ENSG00000070778
10,ENSG00000070785
4,ENSG00000070808
18,ENSG00000070814
21,ENSG00000070831
16,ENSG00000070882
1,ENSG00000070886
2,ENSG00000070915
7,ENSG00000070950
2,ENSG00000070961
32,ENSG00000071051
52,ENSG00000071054
26,ENSG00000071082
17,ENSG00000071127
4,ENSG00000071189
16,ENSG00000071205
2,ENSG00000071242
3,ENSG00000071243
1,ENSG00000071282
6,ENSG00000071462
11,ENSG00000071537
2,ENSG00000071539
8,ENSG00000071553
10,ENSG00000071564
3,ENSG00000071575
19,ENSG00000071626
2,ENSG00000071655
1,ENSG00000071794
8,ENSG00000071859
6,ENSG00000071889
13,ENSG00000071894
3,ENSG00000071909
21,ENSG00000071967
1,ENSG00000072041
18,ENSG00000072042
12,ENSG00000072062
27,ENSG00000072110
8,ENSG00000072121
26,ENSG00000072134
3,ENSG00000072135
3,ENSG00000072182
10,ENSG00000072195
8,ENSG00000072201
15,ENSG00000072210
10,ENSG00000072274
19,ENSG00000072310
8,ENSG00000072364
2,ENSG00000072401
14,ENSG00000072415
2,ENSG00000072422
2,ENSG00000072501
7,ENSG00000072506
20,ENSG00000072518
2,ENSG00000072571
4,ENSG00000072609
16,ENSG00000072682
1,ENSG00000072694
24,ENSG00000072736
1,ENSG00000072756
22,ENSG00000072778
17,ENSG00000072786
18,ENSG00000072803
33,ENSG00000072818
3,ENSG00000072832
4,ENSG00000072840
8,ENSG00000072849
1,ENSG00000072858
11,ENSG00000072864
11,ENSG00000072952
5,ENSG00000072954
22,ENSG00000072958
9,ENSG00000073008
9,ENSG00000073009
17,ENSG00000073050
19,ENSG00000073060
6,ENSG00000073067
7,ENSG00000073111
3,ENSG00000073150
9,ENSG00000073169
52,ENSG00000073282
9,ENSG00000073331
25,ENSG00000073350
5,ENSG00000073417
1,ENSG00000073464
4,ENSG00000073536
21,ENSG00000073584
4,ENSG00000073598
10,ENSG00000073605
5,ENSG00000073614
9,ENSG00000073711
4,ENSG00000073712
1,ENSG00000073734
2,ENSG00000073737
8,ENSG00000073756
13,ENSG00000073792
18,ENSG00000073803
9,ENSG00000073849
3,ENSG00000073905
25,ENSG00000073921
8,ENSG00000073969
6,ENSG00000074054
28,ENSG00000074071
7,ENSG00000074181
10,ENSG00000074201
9,ENSG00000074211
11,ENSG00000074219
12,ENSG00000074266
9,ENSG00000074276
4,ENSG00000074317
14,ENSG00000074319
6,ENSG00000074356
32,ENSG00000074410
4,ENSG00000074416
4,ENSG00000074527
5,ENSG00000074582
7,ENSG00000074590
6,ENSG00000074603
2,ENSG00000074621
13,ENSG00000074657
11,ENSG00000074660
3,ENSG00000074695
5,ENSG00000074696
22,ENSG00000074755
18,ENSG00000074800
27,ENSG00000074842
4,ENSG00000074855
24,ENSG00000074964
1,ENSG00000074966
10,ENSG00000075043
17,ENSG00000075073
2,ENSG00000075089
8,ENSG00000075131
4,ENSG00000075142
11,ENSG00000075151
6,ENSG00000075188
36,ENSG00000075218
16,ENSG00000075223
42,ENSG00000075234
15,ENSG00000075239
41,ENSG00000075240
45,ENSG00000075275
8,ENSG00000075290
6,ENSG00000075292
4,ENSG00000075336
1,ENSG00000075340
27,ENSG00000075391
25,ENSG00000075399
1,ENSG00000075407
34,ENSG00000075413
5,ENSG00000075415
25,ENSG00000075420
48,ENSG00000075426
1,ENSG00000075461
26,ENSG00000075539
6,ENSG00000075568
24,ENSG00000075618
22,ENSG00000075624
2,ENSG00000075643
16,ENSG00000075651
2,ENSG00000075673
3,ENSG00000075702
25,ENSG00000075711
19,ENSG00000075785
12,ENSG00000075790
14,ENSG00000075826
14,ENSG00000075856
21,ENSG00000075914
3,ENSG00000075945
20,ENSG00000075975
2,ENSG00000076003
3,ENSG00000076043
4,ENSG00000076053
23,ENSG00000076067
9,ENSG00000076108
5,ENSG00000076201
8,ENSG00000076242
17,ENSG00000076248
2,ENSG00000076258
10,ENSG00000076344
10,ENSG00000076351
16,ENSG00000076356
15,ENSG00000076382
33,ENSG00000076513
10,ENSG00000076554
8,ENSG00000076555
26,ENSG00000076604
2,ENSG00000076641
3,ENSG00000076650
9,ENSG00000076662
11,ENSG00000076685
6,ENSG00000076706
1,ENSG00000076770
7,ENSG00000076826
8,ENSG00000076924
6,ENSG00000076928
4,ENSG00000076944
18,ENSG00000076984
7,ENSG00000077044
2,ENSG00000077097
12,ENSG00000077147
24,ENSG00000077150
10,ENSG00000077152
4,ENSG00000077157
4,ENSG00000077232
16,ENSG00000077235
24,ENSG00000077238
7,ENSG00000077254
23,ENSG00000077312
4,ENSG00000077348
29,ENSG00000077380
4,ENSG00000077454
2,ENSG00000077458
2,ENSG00000077463
8,ENSG00000077514
29,ENSG00000077549
7,ENSG00000077585
2,ENSG00000077684
4,ENSG00000077713
2,ENSG00000077721
19,ENSG00000077809
1,ENSG00000077935
7,ENSG00000077942
2,ENSG00000078018
3,ENSG00000078061
18,ENSG00000078070
14,ENSG00000078081
1,ENSG00000078098
1,ENSG00000078114
5,ENSG00000078124
11,ENSG00000078140
2,ENSG00000078142
4,ENSG00000078177
6,ENSG00000078237
11,ENSG00000078246
9,ENSG00000078269
1,ENSG00000078295
3,ENSG00000078304
14,ENSG00000078319
15,ENSG00000078369
5,ENSG00000078399
21,ENSG00000078401
18,ENSG00000078403
7,ENSG00000078487
24,ENSG00000078618
13,ENSG00000078668
16,ENSG00000078674
5,ENSG00000078699
13,ENSG00000078747
2,ENSG00000078795
6,ENSG00000078804
33,ENSG00000078808
4,ENSG00000078814
8,ENSG00000078900
4,ENSG00000078902
15,ENSG00000078967
2,ENSG00000079134
3,ENSG00000079156
10,ENSG00000079215
15,ENSG00000079246
4,ENSG00000079257
2,ENSG00000079263
15,ENSG00000079277
1,ENSG00000079308
15,ENSG00000079313
4,ENSG00000079332
1,ENSG00000079335
12,ENSG00000079337
9,ENSG00000079387
26,ENSG00000079393
4,ENSG00000079432
5,ENSG00000079435
15,ENSG00000079459
3,ENSG00000079462
2,ENSG00000079482
10,ENSG00000079616
12,ENSG00000079691
12,ENSG00000079739
5,ENSG00000079785
26,ENSG00000079805
1,ENSG00000079819
1,ENSG00000079931
4,ENSG00000079950
23,ENSG00000079999
1,ENSG00000080007
10,ENSG00000080031
3,ENSG00000080189
2,ENSG00000080200
2,ENSG00000080298
1,ENSG00000080345
5,ENSG00000080371
8,ENSG00000080503
7,ENSG00000080546
11,ENSG00000080561
2,ENSG00000080573
12,ENSG00000080603
1,ENSG00000080608
8,ENSG00000080802
9,ENSG00000080815
13,ENSG00000080819
12,ENSG00000080822
14,ENSG00000080823
18,ENSG00000080824
6,ENSG00000080839
6,ENSG00000080845
3,ENSG00000080854
7,ENSG00000080947
2,ENSG00000080986
18,ENSG00000081041
3,ENSG00000081051
5,ENSG00000081059
16,ENSG00000081087
22,ENSG00000081154
7,ENSG00000081177
8,ENSG00000081181
35,ENSG00000081277
7,ENSG00000081307
1,ENSG00000081320
3,ENSG00000081377
1,ENSG00000081386
1,ENSG00000081665
5,ENSG00000081692
6,ENSG00000081721
17,ENSG00000081760
13,ENSG00000081791
1,ENSG00000081853
8,ENSG00000081870
5,ENSG00000081913
20,ENSG00000081923
11,ENSG00000081985
10,ENSG00000082014
2,ENSG00000082068
3,ENSG00000082074
3,ENSG00000082146
27,ENSG00000082153
6,ENSG00000082212
9,ENSG00000082213
4,ENSG00000082258
7,ENSG00000082269
1,ENSG00000082293
12,ENSG00000082438
2,ENSG00000082458
2,ENSG00000082497
17,ENSG00000082515
12,ENSG00000082516
9,ENSG00000082641
2,ENSG00000082684
12,ENSG00000082701
17,ENSG00000082781
22,ENSG00000082805
6,ENSG00000082898
34,ENSG00000082996
12,ENSG00000083093
