hgnc,ensg
HGNC:18477,ENSG00000053372
HGNC:30081,ENSG00000105171
HGNC:17151,ENSG00000091651
HGNC:8762,ENSG00000071994
HGNC:16959,ENSG00000106636
HGNC:9536,ENSG00000101182
HGNC:4566,ENSG00000177885
HGNC:24548,ENSG00000117697
HGNC:9296,ENSG00000117751
HGNC:29897,ENSG00000169189
HGNC:29865,ENSG00000115561
HGNC:25332,ENSG00000143633
HGNC:28226,ENSG00000147536
HGNC:8912,ENSG00000167085
HGNC:9801,ENSG00000136238
HGNC:4431,ENSG00000108433
HGNC:8896,ENSG00000102144
HGNC:10371,ENSG00000089157
HGNC:32979,ENSG00000213397
HGNC:8565,ENSG00000100836
HGNC:19123,ENSG00000213551
HGNC:4141,ENSG00000111640
HGNC:30255,ENSG00000169230
HGNC:20220,ENSG00000119616
HGNC:2243,ENSG00000111481
HGNC:30750,ENSG00000075131
HGNC:11152,ENSG00000131876
HGNC:30852,ENSG00000184209
HGNC:10441,ENSG00000142937
HGNC:9192,ENSG00000099817
HGNC:24031,ENSG00000152253
HGNC:19824,ENSG00000117614
HGNC:28980,ENSG00000101003
HGNC:30240,ENSG00000124380
HGNC:9112,ENSG00000160783
HGNC:25424,ENSG00000131732
HGNC:12009,ENSG00000111669
HGNC:10771,ENSG00000143368
HGNC:19742,ENSG00000165501
HGNC:29874,ENSG00000163634
HGNC:1722,ENSG00000170312
HGNC:18001,ENSG00000130204
HGNC:9910,ENSG00000147274
HGNC:10304,ENSG00000142541
HGNC:24286,ENSG00000189306
HGNC:3267,ENSG00000130741
HGNC:10290,ENSG00000117748
HGNC:10362,ENSG00000089009
HGNC:25807,ENSG00000103061
HGNC:17903,ENSG00000136146
HGNC:18809,ENSG00000123416
HGNC:857,ENSG00000131100
HGNC:9534,ENSG00000143106
HGNC:8767,ENSG00000090470
HGNC:3258,ENSG00000119718
HGNC:26053,ENSG00000113272
HGNC:3265,ENSG00000134001
HGNC:3275,ENSG00000175390
HGNC:30617,ENSG00000170291
HGNC:20870,ENSG00000197498
HGNC:16999,ENSG00000172409
HGNC:28112,ENSG00000075914
HGNC:975,ENSG00000116752
HGNC:2995,ENSG00000172269
HGNC:29479,ENSG00000123219
HGNC:28050,ENSG00000005194
HGNC:19970,ENSG00000133997
HGNC:10766,ENSG00000104897
HGNC:32221,ENSG00000118894
HGNC:30728,ENSG00000164346
HGNC:9533,ENSG00000041357
HGNC:21040,ENSG00000225921
HGNC:28826,ENSG00000164091
HGNC:25174,ENSG00000152240
HGNC:16889,ENSG00000115233
HGNC:30677,ENSG00000068394
HGNC:20589,ENSG00000176407
HGNC:4650,ENSG00000153767
HGNC:5035,ENSG00000092199
HGNC:3257,ENSG00000111361
HGNC:3189,ENSG00000156508
HGNC:20778,ENSG00000196230
HGNC:17028,ENSG00000159210
HGNC:12391,ENSG00000113312
HGNC:30941,ENSG00000144161
HGNC:9565,ENSG00000103035
HGNC:1780,ENSG00000136807
HGNC:20194,ENSG00000171453
HGNC:32456,ENSG00000253710
HGNC:10363,ENSG00000147604
HGNC:2327,ENSG00000160917
HGNC:19971,ENSG00000159479
HGNC:25971,ENSG00000120314
HGNC:9541,ENSG00000159377
HGNC:17097,ENSG00000130713
HGNC:1491,ENSG00000077549
HGNC:20798,ENSG00000121073
HGNC:9531,ENSG00000106588
HGNC:9530,ENSG00000129084
HGNC:17300,ENSG00000137413
HGNC:9226,ENSG00000180817
HGNC:2234,ENSG00000105669
HGNC:17035,ENSG00000120699
HGNC:9532,ENSG00000100567
HGNC:4648,ENSG00000137947
HGNC:4927,ENSG00000112473
HGNC:8041,ENSG00000103274
HGNC:11571,ENSG00000120948
HGNC:15890,ENSG00000022277
HGNC:3274,ENSG00000130811
HGNC:9827,ENSG00000172613
HGNC:9561,ENSG00000159352
HGNC:29873,ENSG00000101882
HGNC:24170,ENSG00000113460
HGNC:20992,ENSG00000124787
HGNC:21749,ENSG00000168090
HGNC:28629,ENSG00000234545
HGNC:24329,ENSG00000183520
HGNC:30660,ENSG00000142230
HGNC:13724,ENSG00000159720
HGNC:20882,ENSG00000111845
HGNC:25518,ENSG00000105248
HGNC:22932,ENSG00000173540
HGNC:1594,ENSG00000134480
HGNC:10360,ENSG00000122406
HGNC:17341,ENSG00000072756
HGNC:11390,ENSG00000178999
HGNC:2869,ENSG00000095059
HGNC:8014,ENSG00000065978
HGNC:9299,ENSG00000113575
HGNC:3272,ENSG00000084623
HGNC:15763,ENSG00000132664
HGNC:25187,ENSG00000144559
HGNC:30350,ENSG00000117133
HGNC:7910,ENSG00000181163
HGNC:1301,ENSG00000159079
HGNC:9817,ENSG00000051180
HGNC:3266,ENSG00000125977
HGNC:2483,ENSG00000101138
HGNC:4653,ENSG00000188342
HGNC:1151,ENSG00000154473
HGNC:18296,ENSG00000163605
HGNC:4399,ENSG00000204628
HGNC:9319,ENSG00000149923
HGNC:6904,ENSG00000168906
HGNC:7529,ENSG00000167508
HGNC:14280,ENSG00000144021
HGNC:13527,ENSG00000100554
HGNC:30532,ENSG00000131351
HGNC:29652,ENSG00000116455
HGNC:17956,ENSG00000065268
HGNC:414,ENSG00000149925
HGNC:1579,ENSG00000134057
HGNC:14629,ENSG00000134690
HGNC:11440,ENSG00000162236
HGNC:3599,ENSG00000105202
HGNC:7530,ENSG00000110921
HGNC:9971,ENSG00000133119
HGNC:30186,ENSG00000111231
HGNC:9189,ENSG00000102978
HGNC:4651,ENSG00000197265
HGNC:9820,ENSG00000108384
HGNC:9796,ENSG00000137955
HGNC:13584,ENSG00000112029
HGNC:25482,ENSG00000134884
HGNC:17688,ENSG00000148688
HGNC:11393,ENSG00000087586
HGNC:10332,ENSG00000100316
HGNC:9970,ENSG00000049541
HGNC:30217,ENSG00000086189
HGNC:3273,ENSG00000147677
HGNC:29540,ENSG00000141101
HGNC:18028,ENSG00000092094
HGNC:15470,ENSG00000126698
HGNC:5187,ENSG00000126457
HGNC:9564,ENSG00000163636
HGNC:1778,ENSG00000134058
HGNC:14245,ENSG00000169371
HGNC:25556,ENSG00000104129
HGNC:11136,ENSG00000164975
HGNC:8045,ENSG00000090273
HGNC:9282,ENSG00000213639
HGNC:25553,ENSG00000130119
HGNC:7641,ENSG00000105402
HGNC:24244,ENSG00000164037
HGNC:24534,ENSG00000171490
HGNC:20603,ENSG00000117682
HGNC:17687,ENSG00000120158
HGNC:10241,ENSG00000164902
HGNC:30796,ENSG00000023734
HGNC:14525,ENSG00000110172
HGNC:2240,ENSG00000121022
HGNC:8648,ENSG00000197111
HGNC:11728,ENSG00000147601
HGNC:1735,ENSG00000105401
HGNC:9973,ENSG00000111445
HGNC:12520,ENSG00000070010
HGNC:24576,ENSG00000167513
HGNC:1157,ENSG00000112578
HGNC:10789,ENSG00000115875
HGNC:24249,ENSG00000139131
HGNC:11588,ENSG00000112592
HGNC:11134,ENSG00000023608
HGNC:9551,ENSG00000013275
HGNC:12729,ENSG00000140105
HGNC:9356,ENSG00000138073
HGNC:30785,ENSG00000161526
HGNC:2728,ENSG00000244038
HGNC:9547,ENSG00000100764
HGNC:24460,ENSG00000149100
HGNC:6446,ENSG00000170421
HGNC:25529,ENSG00000133316
HGNC:21182,ENSG00000120253
HGNC:25503,ENSG00000086589
HGNC:10697,ENSG00000157020
HGNC:20163,ENSG00000092036
HGNC:1913,ENSG00000180198
HGNC:5176,ENSG00000111615
HGNC:11316,ENSG00000138385
HGNC:30856,ENSG00000136718
HGNC:9552,ENSG00000087191
HGNC:5276,ENSG00000102241
HGNC:15971,ENSG00000074319
HGNC:30306,ENSG00000215021
HGNC:10452,ENSG00000171848
HGNC:10452,ENSG00000171848
HGNC:10452,ENSG00000171848
HGNC:10452,ENSG00000171848
HGNC:3299,ENSG00000100664
HGNC:26333,ENSG00000151304
HGNC:856,ENSG00000155097
HGNC:18,ENSG00000127837
HGNC:30873,ENSG00000166451
HGNC:24025,ENSG00000075089
HGNC:25930,ENSG00000134748
HGNC:5238,ENSG00000044574
HGNC:1578,ENSG00000145386
HGNC:20247,ENSG00000146834
HGNC:26643,ENSG00000143751
HGNC:23019,ENSG00000169249
HGNC:9176,ENSG00000106628
HGNC:9369,ENSG00000198056
HGNC:16817,ENSG00000100056
HGNC:15942,ENSG00000168818
HGNC:12417,ENSG00000131462
HGNC:5007,ENSG00000112972
HGNC:9549,ENSG00000165916
HGNC:14219,ENSG00000239306
HGNC:28719,ENSG00000214367
HGNC:30379,ENSG00000085415
HGNC:11824,ENSG00000092330
HGNC:15531,ENSG00000117395
HGNC:5261,ENSG00000144381
HGNC:29559,ENSG00000062716
HGNC:13703,ENSG00000198042
HGNC:29678,ENSG00000125459
HGNC:25088,ENSG00000129810
HGNC:17372,ENSG00000131966
HGNC:17030,ENSG00000198522
HGNC:15594,ENSG00000138231
HGNC:10075,ENSG00000101654
HGNC:9021,ENSG00000067225
HGNC:14179,ENSG00000103245
HGNC:16827,ENSG00000151465
HGNC:18291,ENSG00000178028
HGNC:12757,ENSG00000196363
HGNC:16702,ENSG00000138663
HGNC:17298,ENSG00000104221
HGNC:24724,ENSG00000136122
HGNC:3259,ENSG00000070785
HGNC:9972,ENSG00000163918
HGNC:169,ENSG00000138071
HGNC:9558,ENSG00000185627
HGNC:14498,ENSG00000144029
HGNC:10474,ENSG00000175792
HGNC:9828,ENSG00000101146
HGNC:11808,ENSG00000103423
HGNC:16944,ENSG00000134453
HGNC:26024,ENSG00000139620
HGNC:3277,ENSG00000104408
HGNC:18785,ENSG00000160214
HGNC:11655,ENSG00000120438
HGNC:30460,ENSG00000186166
HGNC:17933,ENSG00000103510
HGNC:1620,ENSG00000146731
HGNC:16405,ENSG00000071462
HGNC:18294,ENSG00000033011
HGNC:15910,ENSG00000244005
HGNC:11109,ENSG00000073584
HGNC:2890,ENSG00000130826
HGNC:9887,ENSG00000162521
HGNC:10353,ENSG00000174444
HGNC:10381,ENSG00000163902
HGNC:9077,ENSG00000166851
HGNC:25360,ENSG00000118197
HGNC:18683,ENSG00000141543
HGNC:24496,ENSG00000163608
HGNC:7996,ENSG00000106459
HGNC:9548,ENSG00000161057
HGNC:3477,ENSG00000120705
HGNC:2745,ENSG00000215301
HGNC:11150,ENSG00000104852
HGNC:1618,ENSG00000150753
HGNC:11343,ENSG00000100380
HGNC:3282,ENSG00000161960
