Gene_ID,Num.Enhancers
ENSG00000049245,9
ENSG00000049246,8
ENSG00000049247,3
ENSG00000049249,15
ENSG00000049283,24
ENSG00000049323,9
ENSG00000049449,1
ENSG00000049540,17
ENSG00000049541,25
ENSG00000049618,24
ENSG00000049656,42
ENSG00000049759,38
ENSG00000049768,12
ENSG00000049769,11
ENSG00000049860,13
ENSG00000049883,10
ENSG00000050030,2
ENSG00000050130,11
ENSG00000050165,13
ENSG00000050327,2
ENSG00000050344,22
ENSG00000050393,16
ENSG00000050405,27
ENSG00000050426,13
ENSG00000050438,18
ENSG00000050555,8
ENSG00000050628,2
ENSG00000050730,16
ENSG00000050748,13
ENSG00000050767,7
ENSG00000050820,26
ENSG00000051009,7
ENSG00000051108,21
ENSG00000051128,6
ENSG00000051180,22
ENSG00000051341,9
ENSG00000051382,14
ENSG00000051523,20
ENSG00000051596,3
ENSG00000051620,22
ENSG00000051825,58
ENSG00000052126,9
ENSG00000052344,15
ENSG00000052723,9
ENSG00000052749,34
ENSG00000052795,16
ENSG00000052802,8
ENSG00000052841,1
ENSG00000052850,2
ENSG00000053108,7
ENSG00000053254,35
ENSG00000053328,11
ENSG00000053371,22
ENSG00000053372,19
ENSG00000053438,26
ENSG00000053501,12
ENSG00000053524,41
ENSG00000053702,1
ENSG00000053747,31
ENSG00000053770,3
ENSG00000053900,6
ENSG00000053918,6
ENSG00000054116,21
ENSG00000054118,18
ENSG00000054148,19
ENSG00000054179,16
ENSG00000054219,6
ENSG00000054267,11
ENSG00000054277,13
ENSG00000054282,20
ENSG00000054356,10
ENSG00000054392,9
ENSG00000054523,17
ENSG00000054598,24
ENSG00000054611,34
ENSG00000054654,28
ENSG00000054690,10
ENSG00000054793,17
ENSG00000054803,3
ENSG00000054938,12
ENSG00000054965,18
ENSG00000054967,10
ENSG00000054983,9
ENSG00000055044,8
ENSG00000055070,30
ENSG00000055118,19
ENSG00000055130,6
ENSG00000055147,6
ENSG00000055163,37
ENSG00000055208,23
ENSG00000055211,14
ENSG00000055332,16
ENSG00000055483,55
ENSG00000055609,7
ENSG00000055732,6
ENSG00000055813,2
ENSG00000055917,37
ENSG00000055950,8
ENSG00000055955,4
ENSG00000055957,3
ENSG00000056050,1
ENSG00000056097,17
ENSG00000056277,9
ENSG00000056291,1
ENSG00000056487,4
ENSG00000056558,19
ENSG00000056586,9
ENSG00000056736,2
ENSG00000056972,31
ENSG00000056998,1
ENSG00000057019,10
ENSG00000057149,16
ENSG00000057252,16
ENSG00000057294,12
ENSG00000057468,1
ENSG00000057593,4
ENSG00000057608,44
ENSG00000057657,46
ENSG00000057663,22
ENSG00000057704,13
ENSG00000057757,32
ENSG00000057935,20
ENSG00000058056,15
ENSG00000058063,19
ENSG00000058085,15
ENSG00000058091,14
ENSG00000058262,15
ENSG00000058272,6
ENSG00000058335,16
ENSG00000058404,29
ENSG00000058453,15
ENSG00000058600,10
ENSG00000058668,58
ENSG00000058673,39
ENSG00000058729,9
ENSG00000058799,1
ENSG00000058804,1
ENSG00000058866,8
ENSG00000059122,28
ENSG00000059145,16
ENSG00000059377,34
ENSG00000059378,13
ENSG00000059573,27
ENSG00000059588,35
ENSG00000059691,7
ENSG00000059728,25
ENSG00000059758,28
ENSG00000059769,16
ENSG00000059804,15
ENSG00000059915,39
ENSG00000060069,28
ENSG00000060138,38
ENSG00000060140,42
ENSG00000060237,14
ENSG00000060339,11
ENSG00000060491,24
ENSG00000060558,19
ENSG00000060566,9
ENSG00000060642,19
ENSG00000060656,7
ENSG00000060688,20
ENSG00000060709,4
ENSG00000060718,1
ENSG00000060749,5
ENSG00000060762,19
ENSG00000060971,11
ENSG00000060982,25
ENSG00000061273,15
ENSG00000061337,9
